,(1+p),(1-p),(x*x),(x*y),(x+y),(x-y),(y*y),(y-x),expected_post,p,post-init,x,y
25,1.46,0.54,1,1,2,0,1,0,0.502,0.46,-0.498,1,1
26,1.26,0.74,0,0,0,0,0,0,0.53,0.26,0.53,0,0
27,1.58,0.42,1,1,2,0,1,0,0.492,0.58,-0.508,1,1
28,1.86,0.14,1,1,2,0,1,0,0.506,0.86,-0.494,1,1
29,1.86,0.14,1,1,2,0,1,0,0.486,0.86,-0.514,1,1
30,1.4,0.6,1,1,2,0,1,0,0.504,0.4,-0.496,1,1
31,1.29,0.71,0,0,0,0,0,0,0.486,0.29,0.486,0,0
32,1.67,0.33,1,1,2,0,1,0,0.522,0.67,-0.478,1,1
33,1.39,0.61,0,0,0,0,0,0,0.476,0.39,0.476,0,0
34,1.15,0.85,1,1,2,0,1,0,0.476,0.15,-0.524,1,1
35,1.25,0.75,0,0,0,0,0,0,0.5,0.25,0.5,0,0
36,1.47,0.53,0,0,0,0,0,0,0.496,0.47,0.496,0,0
37,1.71,0.29,0,0,0,0,0,0,0.522,0.71,0.522,0,0
38,1.5,0.5,0,0,0,0,0,0,0.524,0.5,0.524,0,0
39,1.63,0.37,1,1,2,0,1,0,0.528,0.63,-0.472,1,1
40,1.67,0.33,0,0,0,0,0,0,0.486,0.67,0.486,0,0
41,1.87,0.13,1,1,2,0,1,0,0.516,0.87,-0.484,1,1
42,1.7,0.3,1,1,2,0,1,0,0.542,0.7,-0.45799999999999996,1,1
43,1.32,0.68,0,0,0,0,0,0,0.502,0.32,0.502,0,0
44,1.11,0.89,1,1,2,0,1,0,0.506,0.11,-0.494,1,1
45,1.79,0.21,1,1,2,0,1,0,0.48,0.79,-0.52,1,1
46,1.71,0.29,1,1,2,0,1,0,0.506,0.71,-0.494,1,1
47,1.25,0.75,0,0,0,0,0,0,0.526,0.25,0.526,0,0
48,1.22,0.78,1,1,2,0,1,0,0.5,0.22,-0.5,1,1
49,1.34,0.66,0,0,0,0,0,0,0.514,0.34,0.514,0,0
50,1.32,0.68,0,0,0,0,0,0,0.51,0.32,0.51,0,0
51,1.75,0.25,0,0,0,0,0,0,0.512,0.75,0.512,0,0
52,1.93,0.07,0,0,0,0,0,0,0.512,0.93,0.512,0,0
53,1.12,0.88,1,1,2,0,1,0,0.48,0.12,-0.52,1,1
54,1.83,0.17,1,1,2,0,1,0,0.494,0.83,-0.506,1,1
55,1.6,0.4,0,0,0,0,0,0,0.492,0.6,0.492,0,0
56,1.32,0.68,1,1,2,0,1,0,0.544,0.32,-0.45599999999999996,1,1
57,1.93,0.07,0,0,0,0,0,0,0.48,0.93,0.48,0,0
58,1.72,0.28,1,1,2,0,1,0,0.472,0.72,-0.528,1,1
59,1.13,0.87,1,1,2,0,1,0,0.492,0.13,-0.508,1,1
60,1.12,0.88,0,0,0,0,0,0,0.528,0.12,0.528,0,0
61,1.38,0.62,0,0,0,0,0,0,0.488,0.38,0.488,0,0
62,1.14,0.86,1,1,2,0,1,0,0.502,0.14,-0.498,1,1
63,1.34,0.66,1,1,2,0,1,0,0.51,0.34,-0.49,1,1
64,1.2,0.8,0,0,0,0,0,0,0.484,0.2,0.484,0,0
65,1.9,0.1,1,1,2,0,1,0,0.492,0.9,-0.508,1,1
66,1.31,0.69,0,0,0,0,0,0,0.476,0.31,0.476,0,0
67,1.2,0.8,1,1,2,0,1,0,0.486,0.2,-0.514,1,1
68,1.63,0.37,0,0,0,0,0,0,0.544,0.63,0.544,0,0
69,1.68,0.32,0,0,0,0,0,0,0.494,0.68,0.494,0,0
70,1.27,0.73,1,1,2,0,1,0,0.528,0.27,-0.472,1,1
71,1.2,0.8,0,0,0,0,0,0,0.49,0.2,0.49,0,0
72,1.35,0.65,0,0,0,0,0,0,0.506,0.35,0.506,0,0
73,1.22,0.78,0,0,0,0,0,0,0.466,0.22,0.466,0,0
