,(1+p),(1-p),(b*b),(b*c),(b+c),(b-c),(b-rounds),(c*c),(c-b),(c-rounds),(rounds*b),(rounds*c),(rounds*rounds),(rounds+b),(rounds+c),(rounds-b),(rounds-c),b,c,expected_post,p,post-init,rounds
83,1.33,0.67,144,108,21,3,-7,81,-3,-10,228,171,361,31,28,7,10,12,9,21.956,0.33,2.9559999999999995,19
84,1.41,0.59,196,224,30,-2,14,256,2,16,0,0,0,14,16,-14,-16,14,16,2.384,0.41,2.384,0
85,1.77,0.23,36,120,26,-14,-14,400,14,0,120,400,400,26,40,14,0,6,20,21.254,0.77,1.2540000000000013,20
86,1.19,0.81,49,0,7,7,7,0,-7,0,0,0,0,7,0,-7,0,7,0,5.522,0.19,5.522,0
87,1.65,0.35,49,28,11,3,-13,16,-3,-16,140,80,400,27,24,13,16,7,4,21.592,0.65,1.5919999999999987,20
88,1.28,0.72,16,12,7,1,-14,9,-1,-15,72,54,324,22,21,14,15,4,3,21.478,0.28,3.4780000000000015,18
89,1.42,0.58,64,136,25,-9,6,289,9,15,16,34,4,10,19,-6,-15,8,17,4.406,0.42,2.4059999999999997,2
90,1.55,0.45,400,100,25,15,15,25,-15,0,100,25,25,25,10,-15,0,20,5,6.838,0.55,1.838,5
91,1.9,0.1,361,304,35,3,10,256,-3,7,171,144,81,28,25,-10,-7,19,16,10.098,0.9,1.0980000000000008,9
92,1.3,0.7,225,195,28,2,-3,169,-2,-5,270,234,324,33,31,3,5,15,13,21.384,0.3,3.3840000000000003,18
93,1.43,0.57,324,342,37,-1,14,361,1,15,72,76,16,22,23,-14,-15,18,19,6.404,0.43,2.404,4
94,1.15,0.85,64,104,21,-5,2,169,5,7,48,78,36,14,19,-2,-7,8,13,13.194,0.15,7.194000000000001,6
95,1.55,0.45,144,228,31,-7,12,361,7,19,0,0,0,12,19,-12,-19,12,19,1.798,0.55,1.798,0
96,1.06,0.94,81,18,11,7,3,4,-7,-4,54,12,36,15,8,-3,4,9,2,22.874,0.06,16.874,6
97,1.08,0.92,400,240,32,8,1,144,-8,-7,380,228,361,39,31,-1,7,20,12,31.746,0.08,12.745999999999999,19
98,1.27,0.73,64,32,12,4,-1,16,-4,-5,72,36,81,17,13,1,5,8,4,12.634,0.27,3.6340000000000003,9
99,1.86,0.14,25,70,19,-9,1,196,9,10,20,56,16,9,18,-1,-10,5,14,5.138,0.86,1.138,4
100,1.56,0.44,256,304,35,-3,12,361,3,15,64,76,16,20,23,-12,-15,16,19,5.778,0.56,1.7779999999999996,4
101,1.55,0.45,400,80,24,16,0,16,-16,-16,400,80,400,40,24,0,16,20,4,21.808,0.55,1.8079999999999998,20
102,1.1,0.9,256,64,20,12,4,16,-12,-8,192,48,144,28,16,-4,8,16,4,21.29,0.1,9.29,12
103,1.67,0.33,81,108,21,-3,-6,144,3,-3,135,180,225,24,27,6,3,9,12,16.484,0.67,1.4840000000000018,15
104,1.14,0.86,225,285,34,-4,1,361,4,5,210,266,196,29,33,-1,-5,15,19,21.088,0.14,7.088000000000001,14
105,1.58,0.42,361,171,28,10,6,81,-10,-4,247,117,169,32,22,-6,4,19,9,14.748,0.58,1.7479999999999993,13
106,1.91,0.09,400,140,27,13,15,49,-13,2,100,35,25,25,12,-15,-2,20,7,6.092,0.91,1.0919999999999996,5
107,1.19,0.81,36,72,18,-6,2,144,6,8,24,48,16,10,16,-2,-8,6,12,9.632,0.19,5.632,4
108,1.27,0.73,100,100,20,0,-1,100,0,-1,110,110,121,21,21,1,1,10,10,14.4,0.27,3.4000000000000004,11
109,1.25,0.75,1,19,20,-18,0,361,18,18,1,19,1,2,20,0,-18,1,19,5.108,0.25,4.108,1
110,1.65,0.35,289,238,31,3,0,196,-3,-3,289,238,289,34,31,0,3,17,14,18.506,0.65,1.5060000000000002,17
111,1.38,0.62,121,33,14,8,-3,9,-8,-11,154,42,196,25,17,3,11,11,3,16.548,0.38,2.5479999999999983,14
112,1.34,0.66,49,42,13,1,-5,36,-1,-6,84,72,144,19,18,5,6,7,6,14.886,0.34,2.8859999999999992,12
113,1.44,0.56,16,24,10,-2,-16,36,2,-14,80,120,400,24,26,16,14,4,6,22.284,0.44,2.283999999999999,20
114,1.64,0.36,4,0,2,2,-9,0,-2,-11,22,0,121,13,11,9,11,2,0,12.594,0.64,1.5939999999999994,11
115,1.16,0.84,81,162,27,-9,9,324,9,18,0,0,0,9,18,-9,-18,9,18,5.82,0.16,5.82,0
116,1.17,0.83,361,171,28,10,0,81,-10,-10,361,171,361,38,28,0,10,19,9,24.992,0.17,5.992000000000001,19
117,1.37,0.63,16,68,21,-13,3,289,13,16,4,17,1,5,18,-3,-16,4,17,3.688,0.37,2.688,1
118,1.41,0.59,81,99,20,-2,7,121,2,9,18,22,4,11,13,-7,-9,9,11,4.388,0.41,2.388,2
119,1.65,0.35,9,12,7,-1,-2,16,1,-1,15,20,25,8,9,2,1,3,4,6.538,0.65,1.5380000000000003,5
120,1.26,0.74,169,234,31,-5,6,324,5,11,91,126,49,20,25,-6,-11,13,18,10.914,0.26,3.9139999999999997,7
121,1.21,0.79,196,280,34,-6,1,400,6,7,182,260,169,27,33,-1,-7,14,20,17.704,0.21,4.704000000000001,13
122,1.45,0.55,400,80,24,16,17,16,-16,1,60,12,9,23,7,-17,-1,20,4,5.208,0.45,2.208,3
123,1.21,0.79,4,8,6,-2,-7,16,2,-5,18,36,81,11,13,7,5,2,4,13.782,0.21,4.782,9
124,1.94,0.06,49,7,8,6,-13,1,-6,-19,140,20,400,27,21,13,19,7,1,21.058,0.94,1.0579999999999998,20
125,1.25,0.75,1,5,6,-4,-9,25,4,-5,10,50,100,11,15,9,5,1,5,13.936,0.25,3.936,10
126,1.35,0.65,121,44,15,7,-8,16,-7,-15,209,76,361,30,23,8,15,11,4,21.808,0.35,2.808,19
127,1.81,0.19,64,40,13,3,0,25,-3,-3,64,40,64,16,13,0,3,8,5,9.234,0.81,1.234,8
128,1.4,0.6,4,30,17,-13,-1,225,13,12,6,45,9,5,18,1,-12,2,15,5.444,0.4,2.444,3
