,((p+(1/p))-p*(1/p)),(1+(1/p)),(1+p),(1-(1/p)),(1-p),(1/p),(p*(1/p)),(p+(1/p)),(x*x),(x*y),(x+y),(x-y),(y*y),(y-x),(z*z),expected_post,p,post-init,x,y,z
90,1.01,2.12,1.89,-0.12,0.11,1.12,1.0,2.01,64,80,18,-2,100,2,1,9.18,0.89,1.1799999999999997,8,10,1
91,1.0,2.06,1.94,-0.06,0.06,1.06,1.0,2.0,1,2,3,-1,4,1,1,1.256,0.94,0.256,1,2,1
92,1.27,2.67,1.6,-0.67,0.4,1.67,1.0,2.27,64,112,22,-6,196,6,1,18.626,0.6,10.626000000000001,8,14,1
93,1.95,3.56,1.39,-1.56,0.61,2.56,1.0,2.95,225,270,33,-3,324,3,1,46.574,0.39,31.573999999999998,15,18,1
94,1.3,2.72,1.58,-0.72,0.42,1.72,1.0,2.3,64,24,11,5,9,-5,1,11.164,0.58,3.1639999999999997,8,3,1
95,5.82,7.67,1.15,-5.67,0.85,6.67,1.0,6.82,49,140,27,-13,400,13,1,151.252,0.15,144.252,7,20,1
96,1.18,2.52,1.66,-0.52,0.34,1.52,1.0,2.18,169,156,25,1,144,-1,1,20.866,0.66,7.866,13,12,1
97,2.01,3.63,1.38,-1.63,0.62,2.63,1.0,3.01,100,140,24,-4,196,4,1,36.674,0.38,26.674,10,14,1
98,6.28,8.14,1.14,-6.14,0.86,7.14,1.0,7.28,225,210,29,1,196,-1,1,150.564,0.14,135.564,15,14,1
99,1.2,2.56,1.64,-0.56,0.36,1.56,1.0,2.2,64,136,25,-9,289,9,1,16.774,0.64,8.774000000000001,8,17,1
100,1.18,2.52,1.66,-0.52,0.34,1.52,1.0,2.18,64,152,27,-11,361,11,1,16.902,0.66,8.902000000000001,8,19,1
101,1.22,2.59,1.63,-0.59,0.37,1.59,1.0,2.22,9,27,12,-6,81,6,1,9.248,0.63,6.247999999999999,3,9,1
102,1.23,2.61,1.62,-0.61,0.38,1.61,1.0,2.23,289,68,21,13,16,-13,1,20.36,0.62,3.3599999999999994,17,4,1
103,1.35,2.79,1.56,-0.79,0.44,1.79,1.0,2.35,0,0,15,-15,225,15,1,15.73,0.56,15.73,0,15,1
104,2.01,3.63,1.38,-1.63,0.62,2.63,1.0,3.01,81,0,9,9,0,-9,1,12.898,0.38,3.8979999999999997,9,0,1
105,2.85,4.57,1.28,-2.57,0.72,3.57,1.0,3.85,25,50,15,-5,100,5,1,42.014,0.28,37.014,5,10,1
106,1.03,2.2,1.83,-0.2,0.17,1.2,1.0,2.03,225,240,31,-1,256,1,1,18.516,0.83,3.5159999999999982,15,16,1
