,(1+p),(1-p),(x*x),(x*z),(x+z),(x-z),(z*z),(z-x),expected_post,p,post-init,x,z
35,1.65,0.35,4,40,22,-18,400,18,23.052,0.65,3.0519999999999996,2,20
36,1.19,0.81,121,110,21,1,100,-1,67.414,0.19,57.414,11,10
37,1.21,0.79,289,85,22,12,25,-12,86.938,0.21,81.938,17,5
38,1.72,0.28,81,36,13,5,16,-5,16.422,0.72,12.422,9,4
39,1.18,0.82,4,22,13,-9,121,9,21.89,0.18,10.89,2,11
40,1.91,0.09,9,27,12,-6,81,6,12.294,0.91,3.2940000000000005,3,9
41,1.29,0.71,36,42,13,-1,49,1,27.482,0.29,20.482,6,7
42,1.64,0.36,100,160,26,-6,256,6,31.726,0.64,15.725999999999999,10,16
43,1.08,0.92,9,3,4,2,1,-2,38.23,0.08,37.23,3,1
44,1.51,0.49,169,117,22,4,81,-4,34.482,0.51,25.482,13,9
45,1.34,0.66,1,3,4,-2,9,2,5.994,0.34,2.9939999999999998,1,3
46,1.59,0.41,289,323,36,-2,361,2,47.806,0.59,28.805999999999997,17,19
47,1.46,0.54,81,117,22,-4,169,4,32.604,0.46,19.604,9,13
48,1.51,0.49,25,90,23,-13,324,13,27.832,0.51,9.832,5,18
49,1.88,0.12,196,42,17,11,9,-11,18.948,0.88,15.948,14,3
50,1.68,0.32,121,187,28,-6,289,6,33.272,0.68,16.272,11,17
51,1.67,0.33,361,0,19,19,0,-19,28.68,0.67,28.68,19,0
52,1.44,0.56,324,324,36,0,324,0,59.11,0.44,41.11,18,18
53,1.72,0.28,324,18,19,17,1,-17,25.64,0.72,24.64,18,1
54,1.75,0.25,361,0,19,19,0,-19,25.518,0.75,25.518,19,0
55,1.85,0.15,81,153,26,-8,289,8,27.704,0.85,10.704,9,17
56,1.76,0.24,196,84,20,8,36,-8,24.5,0.76,18.5,14,6
57,1.79,0.21,1,0,1,1,0,-1,1.238,0.79,1.238,1,0
58,1.47,0.53,36,60,16,-4,100,4,23.04,0.47,13.04,6,10
59,1.12,0.88,361,266,33,5,196,-5,171.682,0.12,157.682,19,14
60,1.15,0.85,324,18,19,17,1,-17,121.664,0.15,120.664,18,1
61,1.37,0.63,169,78,19,7,36,-7,41.498,0.37,35.498,13,6
62,1.38,0.62,225,285,34,-4,361,4,58.904,0.38,39.904,15,19
63,1.68,0.32,100,40,14,6,16,-6,18.75,0.68,14.75,10,4
64,1.57,0.43,144,216,30,-6,324,6,39.234,0.57,21.234,12,18
65,1.1,0.9,100,140,24,-4,196,4,117.188,0.1,103.188,10,14
66,1.69,0.31,121,110,21,1,100,-1,25.822,0.69,15.822,11,10
67,1.17,0.83,81,18,11,7,4,-7,54.956,0.17,52.956,9,2
68,1.5,0.5,25,55,16,-6,121,6,21.068,0.5,10.068000000000001,5,11
69,1.46,0.54,16,8,6,2,4,-2,10.8,0.46,8.8,4,2
70,1.14,0.86,49,105,22,-8,225,8,65.522,0.14,50.522000000000006,7,15
71,1.42,0.58,9,42,17,-11,196,11,21.192,0.42,7.192,3,14
72,1.14,0.86,1,15,16,-14,225,14,22.116,0.14,7.116,1,15
73,1.7,0.3,64,40,13,3,25,-3,16.388,0.7,11.388000000000002,8,5
74,1.49,0.51,64,160,28,-12,400,12,36.092,0.49,16.092,8,20
75,1.43,0.57,289,17,18,16,1,-16,40.652,0.43,39.652,17,1
