,((p*n)*(p*n)),((p*n)*n),((p*n)*x),((p*n)+n),((p*n)+x),((p*n)-n),((p*n)-x),(1+p),(1-p),(n*n),(n*x),(n+x),(n-(p*n)),(n-x),(p*n),(x*x),(x-(p*n)),(x-n),expected_post,n,p,post-init,x
688,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,322.05333333333334,25,0.99,322.05333333333334,0
689,0.98,0.99,24.75,1.99,25.99,-0.01,-24.01,1.99,0.01,1,25,26,0.01,-24,0.99,625,24.01,24,25.993333333333332,1,0.99,0.9933333333333323,25
690,0.0,0.04,0.0,2.02,0.02,-1.98,0.02,1.01,0.99,4,0,2,1.98,2,0.02,0,-0.02,-2,0.02666666666666667,2,0.01,0.02666666666666667,0
691,0.98,0.99,24.75,1.99,25.99,-0.01,-24.01,1.99,0.01,1,25,26,0.01,-24,0.99,625,24.01,24,25.984666666666666,1,0.99,0.9846666666666657,25
692,0.06,6.25,0.0,25.25,0.25,-24.75,0.25,1.01,0.99,625,0,25,24.75,25,0.25,0,-0.25,-25,3.582,25,0.01,3.582,0
693,0.98,0.99,0.0,1.99,0.99,-0.01,0.99,1.99,0.01,1,0,1,0.01,1,0.99,0,-0.99,-1,0.9926666666666667,1,0.99,0.9926666666666667,0
694,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,321.5946666666667,25,0.99,321.5946666666667,0
695,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,322.14733333333334,25,0.99,322.14733333333334,0
696,612.56,618.75,222.75,49.75,33.75,-0.25,15.75,1.99,0.01,625,225,34,0.25,16,24.75,81,-15.75,-16,330.89866666666666,25,0.9899999999984233,321.89866666666666,9
697,612.56,618.75,222.75,49.75,33.75,-0.25,15.75,1.99,0.01,625,225,34,0.25,16,24.75,81,-15.75,-16,330.526,25,0.99,321.526,9
698,0.98,0.99,0.0,1.99,0.99,-0.01,0.99,1.99,0.01,1,0,1,0.01,1,0.99,0,-0.99,-1,0.9906666666666667,1,0.99,0.9906666666666667,0
699,612.56,618.75,222.75,49.75,33.75,-0.25,15.75,1.99,0.01,625,225,34,0.25,16,24.75,81,-15.75,-16,330.59133333333335,25,0.99,321.59133333333335,9
700,220.52,222.75,0.0,29.85,14.85,-0.15,14.85,1.99,0.01,225,0,15,0.15,15,14.85,0,-14.85,-15,118.778,15,0.99,118.778,0
701,612.56,618.75,222.75,49.75,33.75,-0.25,15.75,1.99,0.01,625,225,34,0.25,16,24.75,81,-15.75,-16,330.814,25,0.99,321.814,9
702,612.56,618.75,618.75,49.75,49.75,-0.25,-0.25,1.99,0.01,625,625,50,0.25,0,24.75,625,0.25,0,346.44466666666665,25,0.99,321.44466666666665,25
703,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,321.27866666666665,25,0.99,321.27866666666665,0
704,220.52,222.75,0.0,29.85,14.85,-0.15,14.85,1.99,0.01,225,0,15,0.15,15,14.85,0,-14.85,-15,118.858,15,0.99,118.858,0
705,115.04,268.14,96.53,35.73,19.73,-14.27,1.73,1.43,0.57,625,225,34,14.27,16,10.73,81,-1.73,-16,149.02133333333333,25,0.4290294279645835,140.02133333333333,9
706,0.01,1.0,2.5,10.1,25.1,-9.9,-24.9,1.01,0.99,100,250,35,9.9,-15,0.1,625,24.9,15,25.531333333333333,10,0.010000000275379495,0.5313333333333325,25
707,0.06,6.25,2.25,25.25,9.25,-24.75,-8.75,1.01,0.99,625,225,34,24.75,16,0.25,81,8.75,-16,12.371333333333334,25,0.01,3.371333333333334,9
708,0.06,6.25,6.25,25.25,25.25,-24.75,-24.75,1.01,0.99,625,625,50,24.75,0,0.25,625,24.75,0,27.8,25,0.01,2.8000000000000007,25
709,0.0,0.01,0.0,1.01,0.01,-0.99,0.01,1.01,0.99,1,0,1,0.99,1,0.01,0,-0.01,-1,0.010666666666666666,1,0.01,0.010666666666666666,0
710,0.98,0.99,0.0,1.99,0.99,-0.01,0.99,1.99,0.01,1,0,1,0.01,1,0.99,0,-0.99,-1,0.9933333333333333,1,0.99,0.9933333333333333,0
711,0.98,0.99,0.0,1.99,0.99,-0.01,0.99,1.99,0.01,1,0,1,0.01,1,0.99,0,-0.99,-1,0.9893333333333333,1,0.99,0.9893333333333333,0
712,3.92,3.96,0.0,3.98,1.98,-0.02,1.98,1.99,0.01,4,0,2,0.02,2,1.98,0,-1.98,-2,2.972,2,0.99,2.972,0
713,612.56,618.75,544.5,49.75,46.75,-0.25,2.75,1.99,0.01,625,550,47,0.25,3,24.75,484,-2.75,-3,343.874,25,0.99,321.874,22
714,35.28,35.64,0.0,11.94,5.94,-0.06,5.94,1.99,0.01,36,0,6,0.06,6,5.94,0,-5.94,-6,20.776666666666667,6,0.99,20.776666666666667,0
715,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,321.8833333333333,25,0.99,321.8833333333333,0
716,48.02,48.51,41.58,13.93,12.93,-0.07,0.93,1.99,0.01,49,42,13,0.07,1,6.93,36,-0.93,-1,33.724,7,0.99,27.723999999999997,6
717,48.02,48.51,0.0,13.93,6.93,-0.07,6.93,1.99,0.01,49,0,7,0.07,7,6.93,0,-6.93,-7,27.735333333333333,7,0.99,27.735333333333333,0
718,0.0,0.01,0.0,1.01,0.01,-0.99,0.01,1.01,0.99,1,0,1,0.99,1,0.01,0,-0.01,-1,0.007333333333333333,1,0.01,0.007333333333333333,0
719,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,321.8666666666667,25,0.989999995710804,321.8666666666667,0
720,0.98,0.99,0.0,1.99,0.99,-0.01,0.99,1.99,0.01,1,0,1,0.01,1,0.99,0,-0.99,-1,0.9873333333333333,1,0.99,0.9873333333333333,0
721,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,322.05333333333334,25,0.99,322.05333333333334,0
722,0.98,0.99,24.75,1.99,25.99,-0.01,-24.01,1.99,0.01,1,25,26,0.01,-24,0.99,625,24.01,24,25.993333333333332,1,0.99,0.9933333333333323,25
723,0.0,0.04,0.0,2.02,0.02,-1.98,0.02,1.01,0.99,4,0,2,1.98,2,0.02,0,-0.02,-2,0.02666666666666667,2,0.01,0.02666666666666667,0
724,0.98,0.99,24.75,1.99,25.99,-0.01,-24.01,1.99,0.01,1,25,26,0.01,-24,0.99,625,24.01,24,25.984666666666666,1,0.99,0.9846666666666657,25
725,0.06,6.25,0.0,25.25,0.25,-24.75,0.25,1.01,0.99,625,0,25,24.75,25,0.25,0,-0.25,-25,3.582,25,0.01,3.582,0
726,0.98,0.99,0.0,1.99,0.99,-0.01,0.99,1.99,0.01,1,0,1,0.01,1,0.99,0,-0.99,-1,0.9926666666666667,1,0.99,0.9926666666666667,0
727,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,321.5946666666667,25,0.99,321.5946666666667,0
728,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,322.14733333333334,25,0.99,322.14733333333334,0
729,612.56,618.75,222.75,49.75,33.75,-0.25,15.75,1.99,0.01,625,225,34,0.25,16,24.75,81,-15.75,-16,330.89866666666666,25,0.9899999999984233,321.89866666666666,9
730,612.56,618.75,222.75,49.75,33.75,-0.25,15.75,1.99,0.01,625,225,34,0.25,16,24.75,81,-15.75,-16,330.526,25,0.99,321.526,9
731,0.98,0.99,0.0,1.99,0.99,-0.01,0.99,1.99,0.01,1,0,1,0.01,1,0.99,0,-0.99,-1,0.9906666666666667,1,0.99,0.9906666666666667,0
732,612.56,618.75,222.75,49.75,33.75,-0.25,15.75,1.99,0.01,625,225,34,0.25,16,24.75,81,-15.75,-16,330.59133333333335,25,0.99,321.59133333333335,9
733,220.52,222.75,0.0,29.85,14.85,-0.15,14.85,1.99,0.01,225,0,15,0.15,15,14.85,0,-14.85,-15,118.778,15,0.99,118.778,0
734,612.56,618.75,222.75,49.75,33.75,-0.25,15.75,1.99,0.01,625,225,34,0.25,16,24.75,81,-15.75,-16,330.814,25,0.99,321.814,9
735,612.56,618.75,618.75,49.75,49.75,-0.25,-0.25,1.99,0.01,625,625,50,0.25,0,24.75,625,0.25,0,346.44466666666665,25,0.99,321.44466666666665,25
736,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,321.27866666666665,25,0.99,321.27866666666665,0
737,220.52,222.75,0.0,29.85,14.85,-0.15,14.85,1.99,0.01,225,0,15,0.15,15,14.85,0,-14.85,-15,118.858,15,0.99,118.858,0
738,115.04,268.14,96.53,35.73,19.73,-14.27,1.73,1.43,0.57,625,225,34,14.27,16,10.73,81,-1.73,-16,149.02133333333333,25,0.4290294279645835,140.02133333333333,9
739,0.01,1.0,2.5,10.1,25.1,-9.9,-24.9,1.01,0.99,100,250,35,9.9,-15,0.1,625,24.9,15,25.531333333333333,10,0.010000000275379495,0.5313333333333325,25
740,0.06,6.25,2.25,25.25,9.25,-24.75,-8.75,1.01,0.99,625,225,34,24.75,16,0.25,81,8.75,-16,12.371333333333334,25,0.01,3.371333333333334,9
741,0.06,6.25,6.25,25.25,25.25,-24.75,-24.75,1.01,0.99,625,625,50,24.75,0,0.25,625,24.75,0,27.8,25,0.01,2.8000000000000007,25
742,0.0,0.01,0.0,1.01,0.01,-0.99,0.01,1.01,0.99,1,0,1,0.99,1,0.01,0,-0.01,-1,0.010666666666666666,1,0.01,0.010666666666666666,0
743,0.98,0.99,0.0,1.99,0.99,-0.01,0.99,1.99,0.01,1,0,1,0.01,1,0.99,0,-0.99,-1,0.9933333333333333,1,0.99,0.9933333333333333,0
744,0.98,0.99,0.0,1.99,0.99,-0.01,0.99,1.99,0.01,1,0,1,0.01,1,0.99,0,-0.99,-1,0.9893333333333333,1,0.99,0.9893333333333333,0
745,3.92,3.96,0.0,3.98,1.98,-0.02,1.98,1.99,0.01,4,0,2,0.02,2,1.98,0,-1.98,-2,2.972,2,0.99,2.972,0
746,612.56,618.75,544.5,49.75,46.75,-0.25,2.75,1.99,0.01,625,550,47,0.25,3,24.75,484,-2.75,-3,343.874,25,0.99,321.874,22
747,35.28,35.64,0.0,11.94,5.94,-0.06,5.94,1.99,0.01,36,0,6,0.06,6,5.94,0,-5.94,-6,20.776666666666667,6,0.99,20.776666666666667,0
748,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,321.8833333333333,25,0.99,321.8833333333333,0
749,48.02,48.51,41.58,13.93,12.93,-0.07,0.93,1.99,0.01,49,42,13,0.07,1,6.93,36,-0.93,-1,33.724,7,0.99,27.723999999999997,6
750,48.02,48.51,0.0,13.93,6.93,-0.07,6.93,1.99,0.01,49,0,7,0.07,7,6.93,0,-6.93,-7,27.735333333333333,7,0.99,27.735333333333333,0
751,0.0,0.01,0.0,1.01,0.01,-0.99,0.01,1.01,0.99,1,0,1,0.99,1,0.01,0,-0.01,-1,0.007333333333333333,1,0.01,0.007333333333333333,0
752,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,321.8666666666667,25,0.989999995710804,321.8666666666667,0
753,0.98,0.99,0.0,1.99,0.99,-0.01,0.99,1.99,0.01,1,0,1,0.01,1,0.99,0,-0.99,-1,0.9873333333333333,1,0.99,0.9873333333333333,0
754,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,322.05333333333334,25,0.99,322.05333333333334,0
755,0.98,0.99,24.75,1.99,25.99,-0.01,-24.01,1.99,0.01,1,25,26,0.01,-24,0.99,625,24.01,24,25.993333333333332,1,0.99,0.9933333333333323,25
756,0.0,0.04,0.0,2.02,0.02,-1.98,0.02,1.01,0.99,4,0,2,1.98,2,0.02,0,-0.02,-2,0.02666666666666667,2,0.01,0.02666666666666667,0
757,0.98,0.99,24.75,1.99,25.99,-0.01,-24.01,1.99,0.01,1,25,26,0.01,-24,0.99,625,24.01,24,25.984666666666666,1,0.99,0.9846666666666657,25
758,0.06,6.25,0.0,25.25,0.25,-24.75,0.25,1.01,0.99,625,0,25,24.75,25,0.25,0,-0.25,-25,3.582,25,0.01,3.582,0
759,0.98,0.99,0.0,1.99,0.99,-0.01,0.99,1.99,0.01,1,0,1,0.01,1,0.99,0,-0.99,-1,0.9926666666666667,1,0.99,0.9926666666666667,0
760,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,321.5946666666667,25,0.99,321.5946666666667,0
761,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,322.14733333333334,25,0.99,322.14733333333334,0
762,612.56,618.75,222.75,49.75,33.75,-0.25,15.75,1.99,0.01,625,225,34,0.25,16,24.75,81,-15.75,-16,330.89866666666666,25,0.9899999999984233,321.89866666666666,9
763,612.56,618.75,222.75,49.75,33.75,-0.25,15.75,1.99,0.01,625,225,34,0.25,16,24.75,81,-15.75,-16,330.526,25,0.99,321.526,9
764,0.98,0.99,0.0,1.99,0.99,-0.01,0.99,1.99,0.01,1,0,1,0.01,1,0.99,0,-0.99,-1,0.9906666666666667,1,0.99,0.9906666666666667,0
765,612.56,618.75,222.75,49.75,33.75,-0.25,15.75,1.99,0.01,625,225,34,0.25,16,24.75,81,-15.75,-16,330.59133333333335,25,0.99,321.59133333333335,9
766,220.52,222.75,0.0,29.85,14.85,-0.15,14.85,1.99,0.01,225,0,15,0.15,15,14.85,0,-14.85,-15,118.778,15,0.99,118.778,0
767,612.56,618.75,222.75,49.75,33.75,-0.25,15.75,1.99,0.01,625,225,34,0.25,16,24.75,81,-15.75,-16,330.814,25,0.99,321.814,9
768,612.56,618.75,618.75,49.75,49.75,-0.25,-0.25,1.99,0.01,625,625,50,0.25,0,24.75,625,0.25,0,346.44466666666665,25,0.99,321.44466666666665,25
769,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,321.27866666666665,25,0.99,321.27866666666665,0
770,220.52,222.75,0.0,29.85,14.85,-0.15,14.85,1.99,0.01,225,0,15,0.15,15,14.85,0,-14.85,-15,118.858,15,0.99,118.858,0
771,115.04,268.14,96.53,35.73,19.73,-14.27,1.73,1.43,0.57,625,225,34,14.27,16,10.73,81,-1.73,-16,149.02133333333333,25,0.4290294279645835,140.02133333333333,9
772,0.01,1.0,2.5,10.1,25.1,-9.9,-24.9,1.01,0.99,100,250,35,9.9,-15,0.1,625,24.9,15,25.531333333333333,10,0.010000000275379495,0.5313333333333325,25
773,0.06,6.25,2.25,25.25,9.25,-24.75,-8.75,1.01,0.99,625,225,34,24.75,16,0.25,81,8.75,-16,12.371333333333334,25,0.01,3.371333333333334,9
774,0.06,6.25,6.25,25.25,25.25,-24.75,-24.75,1.01,0.99,625,625,50,24.75,0,0.25,625,24.75,0,27.8,25,0.01,2.8000000000000007,25
775,0.0,0.01,0.0,1.01,0.01,-0.99,0.01,1.01,0.99,1,0,1,0.99,1,0.01,0,-0.01,-1,0.010666666666666666,1,0.01,0.010666666666666666,0
776,0.98,0.99,0.0,1.99,0.99,-0.01,0.99,1.99,0.01,1,0,1,0.01,1,0.99,0,-0.99,-1,0.9933333333333333,1,0.99,0.9933333333333333,0
777,0.98,0.99,0.0,1.99,0.99,-0.01,0.99,1.99,0.01,1,0,1,0.01,1,0.99,0,-0.99,-1,0.9893333333333333,1,0.99,0.9893333333333333,0
778,3.92,3.96,0.0,3.98,1.98,-0.02,1.98,1.99,0.01,4,0,2,0.02,2,1.98,0,-1.98,-2,2.972,2,0.99,2.972,0
779,612.56,618.75,544.5,49.75,46.75,-0.25,2.75,1.99,0.01,625,550,47,0.25,3,24.75,484,-2.75,-3,343.874,25,0.99,321.874,22
780,35.28,35.64,0.0,11.94,5.94,-0.06,5.94,1.99,0.01,36,0,6,0.06,6,5.94,0,-5.94,-6,20.776666666666667,6,0.99,20.776666666666667,0
781,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,321.8833333333333,25,0.99,321.8833333333333,0
782,48.02,48.51,41.58,13.93,12.93,-0.07,0.93,1.99,0.01,49,42,13,0.07,1,6.93,36,-0.93,-1,33.724,7,0.99,27.723999999999997,6
783,48.02,48.51,0.0,13.93,6.93,-0.07,6.93,1.99,0.01,49,0,7,0.07,7,6.93,0,-6.93,-7,27.735333333333333,7,0.99,27.735333333333333,0
784,0.0,0.01,0.0,1.01,0.01,-0.99,0.01,1.01,0.99,1,0,1,0.99,1,0.01,0,-0.01,-1,0.007333333333333333,1,0.01,0.007333333333333333,0
785,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,321.8666666666667,25,0.989999995710804,321.8666666666667,0
786,0.98,0.99,0.0,1.99,0.99,-0.01,0.99,1.99,0.01,1,0,1,0.01,1,0.99,0,-0.99,-1,0.9873333333333333,1,0.99,0.9873333333333333,0
787,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,322.05333333333334,25,0.99,322.05333333333334,0
788,0.98,0.99,24.75,1.99,25.99,-0.01,-24.01,1.99,0.01,1,25,26,0.01,-24,0.99,625,24.01,24,25.993333333333332,1,0.99,0.9933333333333323,25
789,0.0,0.04,0.0,2.02,0.02,-1.98,0.02,1.01,0.99,4,0,2,1.98,2,0.02,0,-0.02,-2,0.02666666666666667,2,0.01,0.02666666666666667,0
790,0.98,0.99,24.75,1.99,25.99,-0.01,-24.01,1.99,0.01,1,25,26,0.01,-24,0.99,625,24.01,24,25.984666666666666,1,0.99,0.9846666666666657,25
791,0.06,6.25,0.0,25.25,0.25,-24.75,0.25,1.01,0.99,625,0,25,24.75,25,0.25,0,-0.25,-25,3.582,25,0.01,3.582,0
792,0.98,0.99,0.0,1.99,0.99,-0.01,0.99,1.99,0.01,1,0,1,0.01,1,0.99,0,-0.99,-1,0.9926666666666667,1,0.99,0.9926666666666667,0
793,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,321.5946666666667,25,0.99,321.5946666666667,0
794,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,322.14733333333334,25,0.99,322.14733333333334,0
795,612.56,618.75,222.75,49.75,33.75,-0.25,15.75,1.99,0.01,625,225,34,0.25,16,24.75,81,-15.75,-16,330.89866666666666,25,0.9899999999984233,321.89866666666666,9
796,612.56,618.75,222.75,49.75,33.75,-0.25,15.75,1.99,0.01,625,225,34,0.25,16,24.75,81,-15.75,-16,330.526,25,0.99,321.526,9
797,0.98,0.99,0.0,1.99,0.99,-0.01,0.99,1.99,0.01,1,0,1,0.01,1,0.99,0,-0.99,-1,0.9906666666666667,1,0.99,0.9906666666666667,0
798,612.56,618.75,222.75,49.75,33.75,-0.25,15.75,1.99,0.01,625,225,34,0.25,16,24.75,81,-15.75,-16,330.59133333333335,25,0.99,321.59133333333335,9
799,220.52,222.75,0.0,29.85,14.85,-0.15,14.85,1.99,0.01,225,0,15,0.15,15,14.85,0,-14.85,-15,118.778,15,0.99,118.778,0
800,612.56,618.75,222.75,49.75,33.75,-0.25,15.75,1.99,0.01,625,225,34,0.25,16,24.75,81,-15.75,-16,330.814,25,0.99,321.814,9
801,612.56,618.75,618.75,49.75,49.75,-0.25,-0.25,1.99,0.01,625,625,50,0.25,0,24.75,625,0.25,0,346.44466666666665,25,0.99,321.44466666666665,25
802,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,321.27866666666665,25,0.99,321.27866666666665,0
803,220.52,222.75,0.0,29.85,14.85,-0.15,14.85,1.99,0.01,225,0,15,0.15,15,14.85,0,-14.85,-15,118.858,15,0.99,118.858,0
804,115.04,268.14,96.53,35.73,19.73,-14.27,1.73,1.43,0.57,625,225,34,14.27,16,10.73,81,-1.73,-16,149.02133333333333,25,0.4290294279645835,140.02133333333333,9
805,0.01,1.0,2.5,10.1,25.1,-9.9,-24.9,1.01,0.99,100,250,35,9.9,-15,0.1,625,24.9,15,25.531333333333333,10,0.010000000275379495,0.5313333333333325,25
806,0.06,6.25,2.25,25.25,9.25,-24.75,-8.75,1.01,0.99,625,225,34,24.75,16,0.25,81,8.75,-16,12.371333333333334,25,0.01,3.371333333333334,9
807,0.06,6.25,6.25,25.25,25.25,-24.75,-24.75,1.01,0.99,625,625,50,24.75,0,0.25,625,24.75,0,27.8,25,0.01,2.8000000000000007,25
808,0.0,0.01,0.0,1.01,0.01,-0.99,0.01,1.01,0.99,1,0,1,0.99,1,0.01,0,-0.01,-1,0.010666666666666666,1,0.01,0.010666666666666666,0
809,0.98,0.99,0.0,1.99,0.99,-0.01,0.99,1.99,0.01,1,0,1,0.01,1,0.99,0,-0.99,-1,0.9933333333333333,1,0.99,0.9933333333333333,0
810,0.98,0.99,0.0,1.99,0.99,-0.01,0.99,1.99,0.01,1,0,1,0.01,1,0.99,0,-0.99,-1,0.9893333333333333,1,0.99,0.9893333333333333,0
811,3.92,3.96,0.0,3.98,1.98,-0.02,1.98,1.99,0.01,4,0,2,0.02,2,1.98,0,-1.98,-2,2.972,2,0.99,2.972,0
812,612.56,618.75,544.5,49.75,46.75,-0.25,2.75,1.99,0.01,625,550,47,0.25,3,24.75,484,-2.75,-3,343.874,25,0.99,321.874,22
813,35.28,35.64,0.0,11.94,5.94,-0.06,5.94,1.99,0.01,36,0,6,0.06,6,5.94,0,-5.94,-6,20.776666666666667,6,0.99,20.776666666666667,0
814,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,321.8833333333333,25,0.99,321.8833333333333,0
815,48.02,48.51,41.58,13.93,12.93,-0.07,0.93,1.99,0.01,49,42,13,0.07,1,6.93,36,-0.93,-1,33.724,7,0.99,27.723999999999997,6
816,48.02,48.51,0.0,13.93,6.93,-0.07,6.93,1.99,0.01,49,0,7,0.07,7,6.93,0,-6.93,-7,27.735333333333333,7,0.99,27.735333333333333,0
817,0.0,0.01,0.0,1.01,0.01,-0.99,0.01,1.01,0.99,1,0,1,0.99,1,0.01,0,-0.01,-1,0.007333333333333333,1,0.01,0.007333333333333333,0
818,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,321.8666666666667,25,0.989999995710804,321.8666666666667,0
819,0.98,0.99,0.0,1.99,0.99,-0.01,0.99,1.99,0.01,1,0,1,0.01,1,0.99,0,-0.99,-1,0.9873333333333333,1,0.99,0.9873333333333333,0
820,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,322.05333333333334,25,0.99,322.05333333333334,0
821,0.98,0.99,24.75,1.99,25.99,-0.01,-24.01,1.99,0.01,1,25,26,0.01,-24,0.99,625,24.01,24,25.993333333333332,1,0.99,0.9933333333333323,25
822,0.0,0.04,0.0,2.02,0.02,-1.98,0.02,1.01,0.99,4,0,2,1.98,2,0.02,0,-0.02,-2,0.02666666666666667,2,0.01,0.02666666666666667,0
823,0.98,0.99,24.75,1.99,25.99,-0.01,-24.01,1.99,0.01,1,25,26,0.01,-24,0.99,625,24.01,24,25.984666666666666,1,0.99,0.9846666666666657,25
824,0.06,6.25,0.0,25.25,0.25,-24.75,0.25,1.01,0.99,625,0,25,24.75,25,0.25,0,-0.25,-25,3.582,25,0.01,3.582,0
825,0.98,0.99,0.0,1.99,0.99,-0.01,0.99,1.99,0.01,1,0,1,0.01,1,0.99,0,-0.99,-1,0.9926666666666667,1,0.99,0.9926666666666667,0
826,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,321.5946666666667,25,0.99,321.5946666666667,0
827,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,322.14733333333334,25,0.99,322.14733333333334,0
828,612.56,618.75,222.75,49.75,33.75,-0.25,15.75,1.99,0.01,625,225,34,0.25,16,24.75,81,-15.75,-16,330.89866666666666,25,0.9899999999984233,321.89866666666666,9
829,612.56,618.75,222.75,49.75,33.75,-0.25,15.75,1.99,0.01,625,225,34,0.25,16,24.75,81,-15.75,-16,330.526,25,0.99,321.526,9
830,0.98,0.99,0.0,1.99,0.99,-0.01,0.99,1.99,0.01,1,0,1,0.01,1,0.99,0,-0.99,-1,0.9906666666666667,1,0.99,0.9906666666666667,0
831,612.56,618.75,222.75,49.75,33.75,-0.25,15.75,1.99,0.01,625,225,34,0.25,16,24.75,81,-15.75,-16,330.59133333333335,25,0.99,321.59133333333335,9
832,220.52,222.75,0.0,29.85,14.85,-0.15,14.85,1.99,0.01,225,0,15,0.15,15,14.85,0,-14.85,-15,118.778,15,0.99,118.778,0
833,612.56,618.75,222.75,49.75,33.75,-0.25,15.75,1.99,0.01,625,225,34,0.25,16,24.75,81,-15.75,-16,330.814,25,0.99,321.814,9
834,612.56,618.75,618.75,49.75,49.75,-0.25,-0.25,1.99,0.01,625,625,50,0.25,0,24.75,625,0.25,0,346.44466666666665,25,0.99,321.44466666666665,25
835,612.56,618.75,0.0,49.75,24.75,-0.25,24.75,1.99,0.01,625,0,25,0.25,25,24.75,0,-24.75,-25,321.27866666666665,25,0.99,321.27866666666665,0
836,220.52,222.75,0.0,29.85,14.85,-0.15,14.85,1.99,0.01,225,0,15,0.15,15,14.85,0,-14.85,-15,118.858,15,0.99,118.858,0
837,115.04,268.14,96.53,35.73,19.73,-14.27,1.73,1.43,0.57,625,225,34,14.27,16,10.73,81,-1.73,-16,149.02133333333333,25,0.4290294279645835,140.02133333333333,9
838,0.01,1.0,2.5,10.1,25.1,-9.9,-24.9,1.01,0.99,100,250,35,9.9,-15,0.1,625,24.9,15,25.531333333333333,10,0.010000000275379495,0.5313333333333325,25
839,0.06,6.25,2.25,25.25,9.25,-24.75,-8.75,1.01,0.99,625,225,34,24.75,16,0.25,81,8.75,-16,12.371333333333334,25,0.01,3.371333333333334,9
840,0.06,6.25,6.25,25.25,25.25,-24.75,-24.75,1.01,0.99,625,625,50,24.75,0,0.25,625,24.75,0,27.8,25,0.01,2.8000000000000007,25
841,0.0,0.01,0.0,1.01,0.01,-0.99,0.01,1.01,0.99,1,0,1,0.99,1,0.01,0,-0.01,-1,0.010666666666666666,1,0.01,0.010666666666666666,0
842,0.98,0.99,0.0,1.99,0.99,-0.01,0.99,1.99,0.01,1,0,1,0.01,1,0.99,0,-0.99,-1,0.9933333333333333,1,0.99,0.9933333333333333,0
843,0.98,0.99,0.0,1.99,0.99,-0.01,0.99,1.99,0.01,1,0,1,0.01,1,0.99,0,-0.99,-1,0.9893333333333333,1,0.99,0.9893333333333333,0
844,3.92,3.96,0.0,3.98,1.98,-0.02,1.98,1.99,0.01,4,0,2,0.02,2,1.98,0,-1.98,-2,2.972,2,0.99,2.972,0
