,G,flip,p1,post,pre,z
624,False,1,0.75,9,9.0,9
625,False,1,0.75,9,9.0,9
626,False,1,0.75,9,9.0,9
627,False,1,0.75,9,9.0,9
628,False,1,0.75,9,9.0,9
629,False,1,0.75,9,9.0,9
630,False,1,0.75,9,9.0,9
631,False,1,0.75,9,9.0,9
632,False,1,0.75,9,9.0,9
633,False,1,0.75,9,9.0,9
634,False,1,0.75,9,9.0,9
635,False,1,0.75,9,9.0,9
636,False,1,0.75,9,9.0,9
637,False,1,0.75,9,9.0,9
638,False,1,0.75,9,9.0,9
639,False,1,0.75,9,9.0,9
640,False,1,0.75,9,9.0,9
641,False,1,0.75,9,9.0,9
642,False,1,0.75,9,9.0,9
643,False,1,0.75,9,9.0,9
644,False,1,0.75,9,9.0,9
645,False,1,0.75,9,9.0,9
646,False,1,0.75,9,9.0,9
647,False,1,0.75,9,9.0,9
648,False,1,0.75,9,9.0,9
649,False,1,0.75,9,9.0,9
650,True,0,0.75,10,10.25,10
651,False,1,0.75,9,9.0,9
652,False,1,0.75,9,9.0,9
653,False,1,0.75,9,9.0,9
654,False,1,0.75,9,9.0,9
655,True,0,0.75,10,10.25,10
656,False,1,0.75,9,9.0,9
657,True,0,0.75,10,10.25,10
658,False,1,0.75,9,9.0,9
659,False,1,0.75,9,9.0,9
660,True,0,0.75,10,10.25,10
661,False,1,0.75,9,9.0,9
662,False,1,0.75,9,9.0,9
663,False,1,0.75,9,9.0,9
664,False,1,0.75,9,9.0,9
665,False,1,0.75,9,9.0,9
666,False,1,0.75,9,9.0,9
667,False,1,0.75,9,9.0,9
668,False,1,0.75,9,9.0,9
669,True,0,0.75,10,10.25,10
670,True,0,0.75,10,10.25,10
671,False,1,0.75,9,9.0,9
672,True,0,0.75,10,10.25,10
673,False,1,0.75,9,9.0,9
674,False,1,0.75,9,9.0,9
675,True,0,0.75,10,10.25,10
676,False,1,0.75,9,9.0,9
677,False,1,0.75,9,9.0,9
678,False,1,0.75,9,9.0,9
679,False,1,0.75,9,9.0,9
680,False,1,0.75,9,9.0,9
681,True,0,0.75,10,10.25,10
682,False,1,0.75,9,9.0,9
683,False,1,0.75,9,9.0,9
684,True,0,0.75,10,10.25,10
685,False,1,0.75,9,9.0,9
686,False,1,0.75,9,9.0,9
687,False,1,0.75,9,9.0,9
688,False,1,0.75,9,9.0,9
689,False,1,0.75,9,9.0,9
690,True,0,0.75,10,10.25,10
691,False,1,0.75,9,9.0,9
692,False,1,0.75,9,9.0,9
693,False,1,0.75,9,9.0,9
694,False,1,0.75,9,9.0,9
695,True,0,0.75,10,10.25,10
696,False,1,0.75,9,9.0,9
697,False,1,0.75,9,9.0,9
698,True,0,0.75,10,10.25,10
699,False,1,0.75,9,9.0,9
700,False,1,0.75,9,9.0,9
701,False,1,0.75,9,9.0,9
702,True,0,0.75,10,10.25,10
703,False,1,0.75,9,9.0,9
704,False,1,0.75,9,9.0,9
705,False,1,0.75,9,9.0,9
706,False,1,0.75,9,9.0,9
707,True,0,0.75,10,10.25,10
708,True,0,0.75,10,10.25,10
709,False,1,0.75,9,9.0,9
710,True,0,0.75,10,10.25,10
711,False,1,0.75,9,9.0,9
712,False,1,0.75,9,9.0,9
713,False,1,0.75,9,9.0,9
714,False,1,0.75,9,9.0,9
715,False,1,0.75,9,9.0,9
716,True,0,0.75,10,10.25,10
717,False,1,0.75,9,9.0,9
718,False,1,0.75,9,9.0,9
719,False,1,0.75,9,9.0,9
720,True,0,0.75,10,10.25,10
721,False,1,0.75,9,9.0,9
722,True,0,0.75,10,10.25,10
723,False,1,0.75,9,9.0,9
724,False,1,0.75,9,9.0,9
725,False,1,0.75,9,9.0,9
726,False,1,0.75,9,9.0,9
727,False,1,0.75,9,9.0,9
728,True,0,0.75,10,10.25,10
729,False,1,0.75,9,9.0,9
730,True,0,0.75,10,10.25,10
731,False,1,0.75,9,9.0,9
732,False,1,0.75,9,9.0,9
733,False,1,0.75,9,9.0,9
734,False,1,0.75,9,9.0,9
735,False,1,0.75,9,9.0,9
736,True,0,0.75,10,10.25,10
737,False,1,0.75,9,9.0,9
738,False,1,0.75,9,9.0,9
739,False,1,0.75,9,9.0,9
740,False,1,0.75,9,9.0,9
741,True,0,0.75,10,10.25,10
742,True,0,0.75,10,10.25,10
743,False,1,0.75,9,9.0,9
744,False,1,0.75,9,9.0,9
745,False,1,0.75,9,9.0,9
746,False,1,0.75,9,9.0,9
747,False,1,0.75,9,9.0,9
748,False,1,0.75,9,9.0,9
749,False,1,0.75,9,9.0,9
750,True,0,0.75,10,10.25,10
751,True,0,0.75,10,10.25,10
752,False,1,0.75,9,9.0,9
753,False,1,0.75,9,9.0,9
754,True,0,0.75,10,10.25,10
