,(1+p),(1-p),(n*n),(n*p*n),(n*p*n*p),(n*p*x),(n*p*y),(n*p+n),(n*p+x),(n*p+y),(n*p-n),(n*p-x),(n*p-y),(n*x),(n*y),(n+x),(n+y),(n-n*p),(n-x),(n-y),(x*x),(x*y),(x+y),(x-n),(x-n*p),(x-y),(y*y),(y-n),(y-n*p),(y-x),expected_post,n,n*p,p,post-init,x,y
66,1.63,0.37,169,106.47,67.08,16.38,40.95,21.19,10.19,13.19,-4.81,6.19,3.19,26,65,15,18,4.81,11,8,4,10,7,-11,-6.19,-3,25,-8,-3.19,3,83.626,13,8.19,0.63,81.626,2,5
67,1.11,0.89,400,44.0,4.84,24.2,19.8,22.2,13.2,11.2,-17.8,-8.8,-6.8,220,180,31,29,17.8,9,11,121,99,20,-9,8.8,2,81,-11,6.8,-2,194.386,20,2.2,0.11,183.386,11,9
68,1.21,0.79,400,84.0,17.64,21.0,58.8,24.2,9.2,18.2,-15.8,-0.8,-9.8,100,280,25,34,15.8,15,6,25,70,19,-15,0.8,-9,196,-6,9.8,9,269.994,20,4.2,0.21,264.994,5,14
69,1.46,0.54,324,149.04,68.56,49.68,66.24,26.28,14.28,16.28,-9.72,2.28,0.28,108,144,24,26,9.72,12,10,36,48,14,-12,-2.28,-2,64,-10,-0.28,2,162.966,18,8.28,0.46,156.966,6,8
70,1.49,0.51,36,17.64,8.64,49.98,5.88,8.94,19.94,4.94,-3.06,-14.06,0.94,102,12,23,8,3.06,-11,4,289,34,19,11,14.06,15,4,-4,-0.94,-15,33.218,6,2.94,0.49,16.218000000000004,17,2
71,1.18,0.82,16,2.88,0.52,0.72,1.44,4.72,1.72,2.72,-3.28,-0.28,-1.28,4,8,5,6,3.28,3,2,1,2,3,-3,0.28,-1,4,-2,1.28,1,9.394,4,0.72,0.18,8.394,1,2
72,1.1,0.9,121,12.1,1.21,16.5,7.7,12.1,16.1,8.1,-9.9,-13.9,-5.9,165,77,26,18,9.9,-4,4,225,105,22,4,13.9,8,49,-4,5.9,-8,90.97,11,1.1,0.1,75.97,15,7
73,1.53,0.47,256,135.68,71.91,59.36,110.24,24.48,15.48,21.48,-7.52,1.48,-4.52,112,208,23,29,7.52,9,3,49,91,20,-9,-1.48,-6,169,-3,4.52,6,175.918,16,8.48,0.53,168.918,7,13
74,1.3,0.7,4,1.2,0.36,7.2,8.4,2.6,12.6,14.6,-1.4,-11.4,-13.4,24,28,14,16,1.4,-10,-12,144,168,26,10,11.4,-2,196,12,13.4,2,32.244,2,0.6,0.3,20.244,12,14
75,1.88,0.12,4,3.52,3.1,19.36,24.64,3.76,12.76,15.76,-0.24,-9.24,-12.24,22,28,13,16,0.24,-9,-12,121,154,25,9,9.24,-3,196,12,12.24,3,16.738,2,1.76,0.88,5.7379999999999995,11,14
76,1.73,0.27,324,236.52,172.66,262.8,91.98,31.14,33.14,20.14,-4.86,-6.86,6.14,360,126,38,25,4.86,-2,11,400,140,27,2,6.86,13,49,-11,-6.14,-13,177.722,18,13.14,0.73,157.722,20,7
77,1.89,0.11,144,128.16,114.06,10.68,74.76,22.68,11.68,17.68,-1.32,9.68,3.68,12,84,13,19,1.32,11,5,1,7,8,-11,-9.68,-6,49,-5,-3.68,6,79.814,12,10.68,0.89,78.814,1,7
78,1.77,0.23,361,277.97,214.04,117.04,131.67,33.63,22.63,23.63,-4.37,6.63,5.63,152,171,27,28,4.37,11,10,64,72,17,-11,-6.63,-1,81,-10,-5.63,1,193.292,19,14.63,0.77,185.292,8,9
79,1.68,0.32,81,55.08,37.45,36.72,36.72,15.12,12.12,12.12,-2.88,0.12,0.12,54,54,15,15,2.88,3,3,36,36,12,-3,-0.12,0,36,-3,-0.12,0,53.926,9,6.12,0.68,47.926,6,6
80,1.51,0.49,324,165.24,84.27,146.88,165.24,27.18,25.18,27.18,-8.82,-6.82,-8.82,288,324,34,36,8.82,2,0,256,288,34,-2,6.82,-2,324,0,8.82,2,260.954,18,9.18,0.51,244.954,16,18
81,1.32,0.68,49,15.68,5.02,33.6,8.96,9.24,17.24,6.24,-4.76,-12.76,-1.76,105,28,22,11,4.76,-8,3,225,60,19,8,12.76,11,16,-3,1.76,-11,42.944,7,2.24,0.32,27.944000000000003,15,4
82,1.74,0.26,144,106.56,78.85,53.28,88.8,20.88,14.88,18.88,-3.12,2.88,-1.12,72,120,18,22,3.12,6,2,36,60,16,-6,-2.88,-4,100,-2,1.12,4,95.06,12,8.88,0.74,89.06,6,10
83,1.16,0.84,4,0.64,0.1,0.32,4.16,2.32,1.32,13.32,-1.68,-0.68,-12.68,2,26,3,15,1.68,1,-11,1,13,14,-1,0.68,-12,169,11,12.68,12,23.638,2,0.32,0.16,22.638,1,13
84,1.37,0.63,324,119.88,44.36,33.3,59.94,24.66,11.66,15.66,-11.34,1.66,-2.34,90,162,23,27,11.34,13,9,25,45,14,-13,-1.66,-4,81,-9,2.34,4,170.414,18,6.66,0.37,165.414,5,9
85,1.68,0.32,49,33.32,22.66,14.28,23.8,11.76,7.76,9.76,-2.24,1.76,-0.24,21,35,10,12,2.24,4,2,9,15,8,-4,-1.76,-2,25,-2,0.24,2,33.262,7,4.76,0.68,30.262,3,5
86,1.85,0.15,400,340.0,289.0,136.0,272.0,37.0,25.0,33.0,-3.0,9.0,1.0,160,320,28,36,3.0,12,4,64,128,24,-12,-9.0,-8,256,-4,-1.0,8,233.524,20,17.0,0.85,225.524,8,16
87,1.09,0.91,144,12.96,1.17,17.28,5.4,13.08,17.08,6.08,-10.92,-14.92,-3.92,192,60,28,17,10.92,-4,7,256,80,21,4,14.92,11,25,-7,3.92,-11,77.678,12,1.08,0.09,61.678,16,5
88,1.06,0.94,400,24.0,1.44,19.2,2.4,21.2,17.2,3.2,-18.8,-14.8,-0.8,320,40,36,22,18.8,4,18,256,32,18,-4,14.8,14,4,-18,0.8,-14,65.84,20,1.2,0.06,49.84,16,2
89,1.54,0.46,324,174.96,94.48,165.24,9.72,27.72,26.72,10.72,-8.28,-7.28,8.72,306,18,35,19,8.28,1,17,289,17,18,-1,7.28,16,1,-17,-8.72,-16,117.178,18,9.72,0.54,100.178,17,1
90,1.12,0.88,81,9.72,1.17,0.0,7.56,10.08,1.08,8.08,-7.92,1.08,-5.92,0,63,9,16,7.92,9,2,0,0,7,-9,-1.08,-7,49,-2,5.92,7,61.052,9,1.08,0.12,61.052,0,7
91,1.76,0.24,16,12.16,9.24,57.76,36.48,7.04,22.04,15.04,-0.96,-15.96,-8.96,76,48,23,16,0.96,-15,-8,361,228,31,15,15.96,7,144,8,8.96,-7,37.8,4,3.04,0.76,18.799999999999997,19,12
